enter_time,s1,s2,s3,s4,s5,s6,s7
1617951003643119,0,0,0,0,0,0,0
1617951003653093,1617951003643263,1617951003643286,1617951003643304,1617951003643341,0,0,0
1617951003673453,1617951003653138,1617951003653170,1617951003653218,1617951003653250,0,0,0
1617951003683506,1617951003673496,1617951003673508,1617951003673519,1617951003673529,0,0,0
1617951003723834,1617951003683601,1617951003683630,1617951003683641,1617951003683651,0,0,0
1617951003754045,1617951003723915,1617951003723942,1617951003723949,1617951003723974,0,0,0
1617951003764152,1617951003754142,1617951003754150,1617951003754175,1617951003754201,0,0,0
1617951003794386,1617951003764232,1617951003764258,1617951003764266,1617951003764293,0,0,0
1617951003804421,1617951003794470,1617951003794480,1617951003794487,1617951003794513,0,0,0
1617951003814507,1617951003804501,1617951003804510,1617951003804535,1617951003804561,0,0,0
1617951003824516,1617951003814583,1617951003814607,1617951003814632,1617951003814659,0,0,0
1617951003834603,1617951003824547,1617951003824556,1617951003824565,1617951003824574,0,0,0
1617951003865120,1617951003834680,1617951003834705,1617951003834732,1617951003834741,0,0,0
1617951003875217,1617951003865154,1617951003865163,1617951003865172,1617951003865182,0,0,0
1617951003885304,1617951003875316,1617951003875343,1617951003875353,1617951003875361,0,0,0
1617951003895323,1617951003885412,1617951003885437,1617951003885463,1617951003885489,0,0,0
1617951003915459,1617951003895382,1617951003895400,1617951003895418,1617951003895436,0,0,0
1617951003955722,1617951003915537,1617951003915563,1617951003915588,1617951003915597,0,0,0
1617951003965834,1617951003955765,1617951003955790,1617951003955797,1617951003955822,0,0,0
1617951003975948,1617951003965876,1617951003965901,1617951003965908,1617951003965933,0,0,0
1617951004006067,1617951003976043,1617951003976062,1617951003976081,1617951003976098,0,0,0
1617951004026206,1617951004006161,1617951004006186,1617951004006211,1617951004006236,0,0,0
1617951004046321,1617951004026238,1617951004026247,1617951004026257,1617951004026266,0,0,0
1617951004056319,1617951004046399,1617951004046424,1617951004046432,1617951004046458,0,0,0
1617951004066374,1617951004056396,1617951004056421,1617951004056430,1617951004056455,0,0,0
1617951004086525,1617951004066431,1617951004066449,1617951004066479,1617951004066486,0,0,0
1617951004096551,1617951004086582,1617951004086607,1617951004086632,1617951004086640,0,0,0
1617951004106639,1617951004096666,1617951004096686,1617951004096704,1617951004096721,0,0,0
1617951004117187,1617951004106685,1617951004106693,1617951004106718,1617951004106744,0,0,0
1617951004126978,1617951004117220,1617951004117229,1617951004117238,1617951004117248,0,0,0
1617951004157309,1617951004127063,1617951004127088,1617951004127113,1617951004127139,0,0,0
1617951004177589,1617951004157421,1617951004157431,1617951004157439,1617951004157464,0,0,0
1617951004197732,1617951004177623,1617951004177632,1617951004177642,1617951004177652,0,0,0
1617951004238006,1617951004197796,1617951004197822,1617951004197830,1617951004197855,0,0,0
1617951004258122,1617951004238081,1617951004238089,1617951004238113,1617951004238139,0,0,0
1617951004278285,1617951004258213,1617951004258239,1617951004258247,1617951004258255,0,0,0
1617951004318479,1617951004278373,1617951004278398,1617951004278423,1617951004278449,0,0,0
1617951004328569,1617951004318573,1617951004318598,1617951004318623,1617951004318650,0,0,0
1617951004338575,1617951004328939,1617951004328950,1617951004328959,1617951004328968,0,0,0
1617951004348671,1617951004338671,1617951004338696,1617951004338704,1617951004338730,0,0,0
1617951004378976,1617951004348738,1617951004348749,1617951004348758,1617951004348767,0,0,0
1617951004419270,1617951004379058,1617951004379066,1617951004379092,1617951004379102,0,0,0
1617951004429400,1617951004419362,1617951004419389,1617951004419397,1617951004419422,0,0,0
1617951004439419,1617951004429424,1617951004429434,1617951004429442,1617951004429450,0,0,0
1617951004449460,1617951004439497,1617951004439506,1617951004439530,1617951004439556,0,0,0
1617951004459548,1617951004449554,1617951004449573,1617951004449590,1617951004449609,0,0,0
1617951004479669,1617951004459641,1617951004459659,1617951004459676,1617951004459695,0,0,0
1617951004499732,1617951004479734,1617951004479743,1617951004479752,1617951004479762,0,0,0
1617951004529972,1617951004499810,1617951004499835,1617951004499861,1617951004499887,0,0,0
1617951004540040,1617951004530040,1617951004530065,1617951004530090,1617951004530116,0,0,0
1617951004550062,1617951004540123,1617951004540149,1617951004540175,1617951004540183,0,0,0
1617951004580302,1617951004550140,1617951004550149,1617951004550156,1617951004550182,0,0,0
1617951004590422,1617951004580399,1617951004580418,1617951004580437,1617951004580455,0,0,0
1617951004620550,1617951004590517,1617951004590536,1617951004590553,1617951004590572,0,0,0
1617951004630642,1617951004621265,1617951004621428,1617951004621438,1617951004621447,0,0,0
1617951004640709,1617951004630663,1617951004630672,1617951004630698,1617951004630709,0,0,0
